"Published on","Unique ID","Target","Indicator","Indicator Type","Disaggregation","Year","Unit","Value","Footnote","Comments"
"28-Feb-2026 18:58","ORT-NR7ID-MN-288687-1","NT09. By 2030, increase the benefits of nature to people through ecosystem services derived from nature-based solutions.","12.1 Average share of the built-up area of cities that is green or blue space for public use for all","headline","green space","2017","m²/person","2.4","",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288687-1","NT09. By 2030, increase the benefits of nature to people through ecosystem services derived from nature-based solutions.","12.1 Average share of the built-up area of cities that is green or blue space for public use for all","headline","green space","2021","m²/person","5.1","",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288688-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","A.2 Extent of natural ecosystems","headline","TF1 Palustrine wetlands biome","2024","%","1.1","",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288688-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","A.2 Extent of natural ecosystems","headline","T7 Intensive land-use biome","2024","%","2.4","",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288688-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","A.2 Extent of natural ecosystems","headline","T4 Savannas and grasslands biome","2022","%","73.6","",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288688-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","A.2 Extent of natural ecosystems","headline","F1 Rivers and streams biome","2023","%","0.2","",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288688-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","A.2 Extent of natural ecosystems","headline","T2 Temperate-boreal forests and woodlands biome","2023","%","13.3","",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288688-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","A.2 Extent of natural ecosystems","headline","T4 Savannas and grasslands biome","2021","%","73.9","",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288688-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","A.2 Extent of natural ecosystems","headline","F1 Rivers and streams biome","2022","%","0.1","",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288688-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","A.2 Extent of natural ecosystems","headline","T7 Intensive land-use biome","2022","%","3.3","",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288688-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","A.2 Extent of natural ecosystems","headline","F2 Lakes biome","2022","%","0.3","",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288688-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","A.2 Extent of natural ecosystems","headline","F2 Lakes biome","2023","%","9","",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288688-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","A.2 Extent of natural ecosystems","headline","T4 Savannas and grasslands biome","2023","%","84","",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288688-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","A.2 Extent of natural ecosystems","headline","T7 Intensive land-use biome","2021","%","2.9","",""
